PG.ProteinGroups,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Q791T5;Q791T5-2,24.47717094,11.40022278,25.28981972,30.41313171,21.26887703,13.44755173,19.95815468,Filtered
Q791V5,293.6758118,221.1380768,319.090332,239.637619,267.9692383,159.7212372,276.9204102,Filtered
Q7M6Y3;Q7M6Y3-6,55.25999069,119.6496124,61.86507797,62.47191238,55.11394882,83.85416412,68.08893585,Filtered
Q7M739,11.72357273,23.99624825,10.61213398,31.82739639,10.87660599,25.55616188,10.33286858,Filtered
Q7TMB8,48.56298447,74.14720917,56.67269516,107.5365524,59.05489731,81.96714783,63.4205513,Filtered
Q7TMC8;Q7TMC8-2,2.611618996,NaN,2.343948841,1.216089129,2.162403345,2.384947062,5.945588112,Filtered
Q7TMG8,87.08255005,71.75024414,96.63036346,84.9776001,105.8135452,24.08029366,70.31513977,Filtered
Q7TMM9,209.0813293,381.9148254,198.329361,320.4779968,204.2568359,356.3887634,156.6427612,Filtered
Q7TMY4;Q7TMY4-2,Filtered,21.59575272,1.575657725,26.02298546,7.819986343,6.131123543,Filtered,Filtered
Q7TN29;Q7TN29-2,17.08734512,20.24757767,16.82411957,12.82106495,14.33110905,14.66431808,12.85506439,Filtered
Q7TNC4;Q7TNC4-2;Q7TNC4-3;Q7TNC4-4,10.1570406,12.71333122,15.43596363,18.87623024,8.396514893,18.70739174,6.28117466,Filtered
Q7TNE1,24.41033173,8.686388969,24.81243896,2.417458773,21.5793457,12.86520576,23.91183853,Filtered
Q7TNG8,887.427002,429.1707153,906.8672485,160.2286682,922.572998,380.5879517,932.6141968,921.4868164
Q7TNS2,175.2994537,29.41823387,240.5408173,100.3397141,236.505661,78.11724854,33.40793991,Filtered
Q7TNV0,14.13800907,37.46858597,12.60339832,28.7930603,14.21431065,15.65653992,8.364369392,Filtered
Q7TPR4,65.27037048,154.3219604,71.10326385,301.9859924,73.81868744,236.2271729,69.12927246,Filtered
Q7TPV4,14.85828876,54.44197083,15.9941082,39.08002853,11.3410387,30.64917946,9.810558319,Filtered
Q7TQI3,45.85783005,49.76142502,47.97767258,53.05244827,41.26883698,65.75039673,43.88916779,Filtered
Q7TSV4,19.1701889,35.21169281,21.84439087,33.96280289,19.47251892,38.02759933,15.62360764,Filtered
Q7TT37,2.501858711,4.729892731,2.188687801,9.990978241,1.340461731,3.841867924,2.589303732,Filtered
Q7TT50,10.3254776,14.6390686,8.565454483,10.84358501,7.73820734,11.35120106,8.600610733,Filtered
Q80SW1,20.49459648,16.93325043,27.69021034,18.90969658,18.60344696,10.08354664,24.8715992,Filtered
Q80SY3,11.68958092,6.32591629,13.88391399,13.98246765,11.61577415,5.375526905,9.85515976,Filtered
Q80U63;Q80U63-2,60.64569855,9.611621857,50.48925781,50.98522949,53.37786484,39.64296341,33.91836929,Filtered
Q80U72;Q80U72-2;Q80U72-3;Q80U72-4,4.811547279,2.40059948,9.169325829,7.757596016,3.96236968,3.021930933,2.897310495,Filtered
Q80U93,Filtered,9.481572151,1.766810775,9.496671677,2.12232852,2.38403368,NaN,Filtered
Q80UG5-3,30.65651894,63.15703583,23.68549538,101.7168961,23.05631256,59.5593071,28.20107079,Filtered
Q80UM7,11.59793854,25.25672913,11.34038544,10.16098022,9.007818222,10.33309937,7.579813957,Filtered
Q80UU9,41.81165314,51.97537994,42.22517014,48.78921509,40.63386917,59.23807907,34.0724411,Filtered
Q80UW8,4.47945118,10.65727711,6.939836025,7.835711479,1.334641099,8.757405281,4.42025423,Filtered
Q80V42,14.15820122,12.49586105,9.506099701,4.824355602,7.415246964,9.849713326,7.796132565,Filtered
Q80VD1,40.305233,23.24914742,22.0122509,73.96762848,21.7721653,69.33891296,35.42812729,Filtered
Q80VJ3,5.624269009,5.80850172,7.454010487,4.352306366,12.0804081,4.108827114,5.62917757,Filtered
Q80VP1;Q80VP1-2,25.75516319,19.87505913,16.31731033,14.19539452,24.34181404,23.91843605,20.08798027,Filtered
Q80W22,126.9007568,61.34592056,160.3880157,40.87128448,152.8744202,84.09115601,143.654541,Filtered
Q80W54,99.95558167,112.8498535,110.9356308,125.2010422,103.9863739,95.82876587,78.32914734,Filtered
Q80WJ7,32.16168594,91.48700714,46.54118347,26.07759285,32.40400696,33.00905991,39.62384796,Filtered
Q80X80,14.51487637,15.03088188,21.23468971,7.073627472,13.48183823,11.22808361,14.78747749,Filtered
Q80X81,30.16567802,17.29443741,23.53217316,20.20326042,22.20362091,50.62029648,35.73965073,Filtered
Q80X85,15.29480934,3.097089767,10.18843365,8.107075691,12.07578373,13.46476841,11.1164484,Filtered
Q80X90,123.1128616,263.0652771,113.1674728,186.0872345,111.9508133,262.5374756,112.2908783,Filtered
Q80X95,18.60506058,13.44549942,16.42349625,17.82636642,7.068877697,7.171373367,9.547781944,Filtered
Q80XN0,952.6900635,320.0512085,939.0621338,331.4564209,980.1337891,177.5648804,786.2519531,1083.12854
Q80Y14,51.49212646,45.99672318,64.42468262,24.9321003,47.72122192,33.33445358,46.0468483,Filtered
Q80YC5,5.888735771,5.855565548,2.621055126,50.55976868,2.867234468,4.313501358,2.690869331,Filtered
Q80YD1,8.539069176,3.297320843,11.84890461,7.016430378,6.413998127,3.325671196,3.917456388,Filtered
Q80YS6,7.135896206,8.302425385,3.273023367,19.91983986,4.82357502,18.6696434,4.669895649,Filtered
Q80YX1-2,1.245610118,7.549644947,1.118111372,67.92089844,Filtered,22.08315849,4.477981091,Filtered
Q80ZM5,2.488571405,2.085067987,Filtered,5.152274132,Filtered,1.999464512,NaN,Filtered
